Position,Classification code,Current Step,current_monthly,monthly_pay_at_contract_end,difference in monthly pay,pct_change
Engineering Technician 3,3111,3,4155,5168,1013,24.38%
Engineering Technician 3,3111,4,4356,5418,1062,24.38%
Engineering Technician 3,3111,5,4555,5666,1111,24.39%
Engineering Technician 3,3111,6,4776,5941,1165,24.39%
Engineering Technician 3,3111,7,5019,6243,1224,24.39%
Engineering Technician 3,3111,8,5256,6538,1282,24.39%
Engineering Technician 3,3111,9,5503,6538,1035,18.81%
Engineering Technician 3,3111,10,5771,6548,777,13.46%
Environmental Engineer 2,3411,1,5771,7178,1407,24.38%
Environmental Engineer 2,3411,2,6051,7527,1476,24.39%
Environmental Engineer 2,3411,3,6350,7898,1548,24.38%
Environmental Engineer 2,3411,4,6664,8289,1625,24.38%
Environmental Engineer 2,3411,5,6982,8685,1703,24.39%
Environmental Engineer 2,3411,6,7327,9114,1787,24.39%
Environmental Engineer 2,3411,7,7678,9550,1872,24.38%
Environmental Engineer 2,3411,8,8057,10022,1965,24.39%
Environmental Engineer 2,3411,9,8450,10039,1589,18.80%
Environmental Engineer 2,3411,10,8870,10065,1195,13.47%
Environmental Engineer 3,3413,1,6664,8289,1625,24.38%
Environmental Engineer 3,3413,2,6982,8685,1703,24.39%
Environmental Engineer 3,3413,3,7327,9114,1787,24.39%
Environmental Engineer 3,3413,4,7678,9550,1872,24.38%
Environmental Engineer 3,3413,5,8057,10022,1965,24.39%
Environmental Engineer 3,3413,6,8450,10511,2061,24.39%
Environmental Engineer 3,3413,7,8870,11033,2163,24.39%
Environmental Engineer 3,3413,8,9293,11559,2266,24.38%
Environmental Engineer 3,3413,9,9751,11585,1834,18.81%
Environmental Engineer 3,3413,10,10242,11622,1380,13.47%
Environmental Health Specialist 3,3819,1,5256,6538,1282,24.39%
Environmental Health Specialist 3,3819,2,5503,6845,1342,24.39%
Environmental Health Specialist 3,3819,3,5771,7178,1407,24.38%
Environmental Health Specialist 3,3819,4,6051,7527,1476,24.39%
Environmental Health Specialist 3,3819,5,6350,7898,1548,24.38%
Environmental Health Specialist 3,3819,6,6664,8289,1625,24.38%
Environmental Health Specialist 3,3819,7,6982,8685,1703,24.39%
Environmental Health Specialist 3,3819,8,7327,9114,1787,24.39%
Environmental Health Specialist 3,3819,9,7678,9122,1444,18.81%
Environmental Health Specialist 3,3819,10,8057,9142,1085,13.47%
Epidemiologist 1,6316,1,5019,6243,1224,24.39%
Epidemiologist 1,6316,2,5256,6538,1282,24.39%
Epidemiologist 1,6316,3,5503,6845,1342,24.39%
Epidemiologist 1,6316,4,5771,7178,1407,24.38%
Epidemiologist 1,6316,5,6051,7527,1476,24.39%
Epidemiologist 1,6316,6,6350,7898,1548,24.38%
Epidemiologist 1,6316,7,6664,8289,1625,24.38%
Epidemiologist 1,6316,8,6982,8685,1703,24.39%
Epidemiologist 1,6316,9,7327,8705,1378,18.81%
Epidemiologist 1,6316,10,7678,8712,1034,13.47%
Epidemiologist 2,6317,1,5771,7178,1407,24.38%
Epidemiologist 2,6317,2,6051,7527,1476,24.39%
Epidemiologist 2,6317,3,6350,7898,1548,24.38%
Epidemiologist 2,6317,4,6664,8289,1625,24.38%
Epidemiologist 2,6317,5,6982,8685,1703,24.39%
Epidemiologist 2,6317,6,7327,9114,1787,24.39%
Epidemiologist 2,6317,7,7678,9550,1872,24.38%
Epidemiologist 2,6317,8,8057,10022,1965,24.39%
Epidemiologist 2,6317,9,8450,10039,1589,18.80%
Epidemiologist 2,6317,10,8870,10065,1195,13.47%
Epidemiologist 3,6318,1,6350,7898,1548,24.38%
Epidemiologist 3,6318,2,6664,8289,1625,24.38%
Epidemiologist 3,6318,3,6982,8685,1703,24.39%
Epidemiologist 3,6318,4,7327,9114,1787,24.39%
Epidemiologist 3,6318,5,7678,9550,1872,24.38%
Epidemiologist 3,6318,6,8057,10022,1965,24.39%
Epidemiologist 3,6318,7,8450,10511,2061,24.39%
Epidemiologist 3,6318,8,8870,11033,2163,24.39%
Epidemiologist 3,6318,9,9293,11040,1747,18.80%
Epidemiologist 3,6318,10,9751,11065,1314,13.48%
Equipment Operator,4433,1,3790,4714,924,24.38%
Equipment Operator,4433,2,3964,4930,966,24.37%
Equipment Operator,4433,3,4155,5168,1013,24.38%
Equipment Operator,4433,4,4356,5418,1062,24.38%
Equipment Operator,4433,5,4555,5666,1111,24.39%
Equipment Operator,4433,6,4776,5941,1165,24.39%
Equipment Operator,4433,7,5019,6243,1224,24.39%
Equipment Operator,4433,8,5256,6538,1282,24.39%
Equipment Operator,4433,9,5503,6538,1035,18.81%
Equipment Operator,4433,10,5771,6548,777,13.46%
Executive Assistant,830,1,4555,5666,1111,24.39%
Executive Assistant,830,2,4776,5941,1165,24.39%
Executive Assistant,830,3,5019,6243,1224,24.39%
Executive Assistant,830,4,5256,6538,1282,24.39%
Executive Assistant,830,5,5503,6845,1342,24.39%
Executive Assistant,830,6,5771,7178,1407,24.38%
Executive Assistant,830,7,6051,7527,1476,24.39%
Executive Assistant,830,8,6350,7898,1548,24.38%
Executive Assistant,830,9,6664,7917,1253,18.80%
Executive Assistant,830,10,6982,7922,940,13.46%
Executive Support Specialist 1,118,1,3218,4002,784,24.36%
Executive Support Specialist 1,118,2,3335,4148,813,24.38%
Executive Support Specialist 1,118,3,3483,4332,849,24.38%
Executive Support Specialist 1,118,4,3629,4514,885,24.39%
Executive Support Specialist 1,118,5,3790,4714,924,24.38%
Executive Support Specialist 1,118,6,3964,4930,966,24.37%
Executive Support Specialist 1,118,7,4155,5168,1013,24.38%
Executive Support Specialist 1,118,8,4356,5418,1062,24.38%
Executive Support Specialist 1,118,9,4555,5411,856,18.79%
Executive Support Specialist 1,118,10,4776,5419,643,13.46%
Executive Support Specialist 2,119,1,3629,4514,885,24.39%
Executive Support Specialist 2,119,2,3790,4714,924,24.38%
Executive Support Specialist 2,119,3,3964,4930,966,24.37%
Executive Support Specialist 2,119,4,4155,5168,1013,24.38%
Executive Support Specialist 2,119,5,4356,5418,1062,24.38%
Executive Support Specialist 2,119,6,4555,5666,1111,24.39%
Executive Support Specialist 2,119,7,4776,5941,1165,24.39%
Executive Support Specialist 2,119,8,5019,6243,1224,24.39%
Executive Support Specialist 2,119,9,5256,6244,988,18.80%
Executive Support Specialist 2,119,10,5503,6244,741,13.47%
Facilities Engineer 1,3351,1,5019,6243,1224,24.39%
Facilities Engineer 1,3351,2,5256,6538,1282,24.39%
Facilities Engineer 1,3351,3,5503,6845,1342,24.39%
Facilities Engineer 1,3351,4,5771,7178,1407,24.38%
Facilities Engineer 1,3351,5,6051,7527,1476,24.39%
Facilities Engineer 1,3351,6,6350,7898,1548,24.38%
Facilities Engineer 1,3351,7,6664,8289,1625,24.38%
Facilities Engineer 1,3351,8,6982,8685,1703,24.39%
Facilities Engineer 1,3351,9,7327,8705,1378,18.81%
Facilities Engineer 1,3351,10,7678,8712,1034,13.47%
Facilities Engineer 3,3353,1,6664,8289,1625,24.38%
Facilities Engineer 3,3353,2,6982,8685,1703,24.39%
Facilities Engineer 3,3353,3,7327,9114,1787,24.39%
Facilities Engineer 3,3353,4,7678,9550,1872,24.38%
Facilities Engineer 3,3353,5,8057,10022,1965,24.39%
Facilities Engineer 3,3353,6,8450,10511,2061,24.39%
Facilities Engineer 3,3353,7,8870,11033,2163,24.39%
Facilities Engineer 3,3353,8,9293,11559,2266,24.38%
Facilities Engineer 3,3353,9,9751,11585,1834,18.81%
Facilities Engineer 3,3353,10,10242,11622,1380,13.47%
Facility Energy Technician 2,4033,1,3964,4930,966,24.37%
Facility Energy Technician 2,4033,2,4155,5168,1013,24.38%
Facility Energy Technician 2,4033,3,4356,5418,1062,24.38%
Facility Energy Technician 2,4033,4,4555,5666,1111,24.39%
Facility Energy Technician 2,4033,5,4776,5941,1165,24.39%
Facility Energy Technician 2,4033,6,5019,6243,1224,24.39%
Facility Energy Technician 2,4033,7,5256,6538,1282,24.39%
Facility Energy Technician 2,4033,8,5503,6845,1342,24.39%
Facility Energy Technician 2,4033,9,5771,6856,1085,18.80%
Facility Energy Technician 2,4033,10,6051,6866,815,13.47%
Facility Energy Technician 3,4034,1,4776,5941,1165,24.39%
Facility Energy Technician 3,4034,2,5019,6243,1224,24.39%
Facility Energy Technician 3,4034,3,5256,6538,1282,24.39%
Facility Energy Technician 3,4034,4,5503,6845,1342,24.39%
Facility Energy Technician 3,4034,5,5771,7178,1407,24.38%
Facility Energy Technician 3,4034,6,6051,7527,1476,24.39%
Facility Energy Technician 3,4034,7,6350,7898,1548,24.38%
Facility Energy Technician 3,4034,8,6664,8289,1625,24.38%
Facility Energy Technician 3,4034,9,6982,8295,1313,18.81%
Facility Energy Technician 3,4034,10,7327,8314,987,13.47%
Facility Energy Technician 4,4035,1,5503,6845,1342,24.39%
Facility Energy Technician 4,4035,2,5771,7178,1407,24.38%
Facility Energy Technician 4,4035,3,6051,7527,1476,24.39%
Facility Energy Technician 4,4035,4,6350,7898,1548,24.38%
Facility Energy Technician 4,4035,5,6664,8289,1625,24.38%
Facility Energy Technician 4,4035,6,6982,8685,1703,24.39%
Facility Energy Technician 4,4035,7,7327,9114,1787,24.39%
Facility Energy Technician 4,4035,8,7678,9550,1872,24.38%
Facility Energy Technician 4,4035,9,8057,9572,1515,18.80%
Facility Energy Technician 4,4035,10,8450,9588,1138,13.47%
Facility Maintenance Specialist,4013,1,3335,4148,813,24.38%
Facility Maintenance Specialist,4013,2,3483,4332,849,24.38%
Facility Maintenance Specialist,4013,3,3629,4514,885,24.39%
Facility Maintenance Specialist,4013,4,3790,4714,924,24.38%
Facility Maintenance Specialist,4013,5,3964,4930,966,24.37%
Facility Maintenance Specialist,4013,6,4155,5168,1013,24.38%
Facility Maintenance Specialist,4013,7,4356,5418,1062,24.38%
Facility Maintenance Specialist,4013,8,4555,5666,1111,24.39%
Facility Maintenance Specialist,4013,9,4776,5674,898,18.80%
Facility Maintenance Specialist,4013,10,5019,5695,676,13.47%
Facility Operations Specialist 1,4014,1,4356,5418,1062,24.38%
Facility Operations Specialist 1,4014,2,4555,5666,1111,24.39%
Facility Operations Specialist 1,4014,3,4776,5941,1165,24.39%
Facility Operations Specialist 1,4014,4,5019,6243,1224,24.39%
Facility Operations Specialist 1,4014,5,5256,6538,1282,24.39%
Facility Operations Specialist 1,4014,6,5503,6845,1342,24.39%
Facility Operations Specialist 1,4014,7,5771,7178,1407,24.38%
Facility Operations Specialist 1,4014,8,6051,7527,1476,24.39%
Facility Operations Specialist 1,4014,9,6350,7544,1194,18.80%
Facility Operations Specialist 1,4014,10,6664,7562,898,13.48%
Facility Operations Specialist 2,4015,1,4776,5941,1165,24.39%
Facility Operations Specialist 2,4015,2,5019,6243,1224,24.39%
Facility Operations Specialist 2,4015,3,5256,6538,1282,24.39%
Facility Operations Specialist 2,4015,4,5503,6845,1342,24.39%
Facility Operations Specialist 2,4015,5,5771,7178,1407,24.38%
Facility Operations Specialist 2,4015,6,6051,7527,1476,24.39%
Facility Operations Specialist 2,4015,7,6350,7898,1548,24.38%
Facility Operations Specialist 2,4015,8,6664,8289,1625,24.38%
Facility Operations Specialist 2,4015,9,6982,8295,1313,18.81%
Facility Operations Specialist 2,4015,10,7327,8314,987,13.47%
Financial Enforcement Officer,1547,1,6350,7898,1548,24.38%
Financial Enforcement Officer,1547,2,6664,8289,1625,24.38%
Financial Enforcement Officer,1547,3,6982,8685,1703,24.39%
Financial Enforcement Officer,1547,4,7327,9114,1787,24.39%
Financial Enforcement Officer,1547,5,7678,9550,1872,24.38%
Financial Enforcement Officer,1547,6,8057,10022,1965,24.39%
Financial Enforcement Officer,1547,7,8450,10511,2061,24.39%
Financial Enforcement Officer,1547,8,8870,11033,2163,24.39%
Financial Enforcement Officer,1547,9,9293,11040,1747,18.80%
Financial Enforcement Officer,1547,10,9751,11065,1314,13.48%
Financial Examiner 1,5675,1,4356,5418,1062,24.38%
Financial Examiner 1,5675,2,4555,5666,1111,24.39%
Financial Examiner 1,5675,3,4776,5941,1165,24.39%
Financial Examiner 1,5675,4,5019,6243,1224,24.39%
Financial Examiner 1,5675,5,5256,6538,1282,24.39%
Financial Examiner 1,5675,6,5503,6845,1342,24.39%
Financial Examiner 1,5675,7,5771,7178,1407,24.38%
Financial Examiner 1,5675,8,6051,7527,1476,24.39%
Financial Examiner 1,5675,9,6350,7544,1194,18.80%
Financial Examiner 1,5675,10,6664,7562,898,13.48%
Financial Examiner 2,5676,1,5019,6243,1224,24.39%
Financial Examiner 2,5676,2,5256,6538,1282,24.39%
Financial Examiner 2,5676,3,5503,6845,1342,24.39%
Financial Examiner 2,5676,4,5771,7178,1407,24.38%
Financial Examiner 2,5676,5,6051,7527,1476,24.39%
Financial Examiner 2,5676,6,6350,7898,1548,24.38%
Financial Examiner 2,5676,7,6664,8289,1625,24.38%
Financial Examiner 2,5676,8,6982,8685,1703,24.39%
Financial Examiner 2,5676,9,7327,8705,1378,18.81%
Financial Examiner 2,5676,10,7678,8712,1034,13.47%
Financial Examiner 3,5677,1,5771,7178,1407,24.38%
Financial Examiner 3,5677,2,6051,7527,1476,24.39%
Financial Examiner 3,5677,3,6350,7898,1548,24.38%
Financial Examiner 3,5677,4,6664,8289,1625,24.38%
Financial Examiner 3,5677,5,6982,8685,1703,24.39%
Financial Examiner 3,5677,6,7327,9114,1787,24.39%
Financial Examiner 3,5677,7,7678,9550,1872,24.38%
Financial Examiner 3,5677,8,8057,10022,1965,24.39%
Financial Examiner 3,5677,9,8450,10039,1589,18.80%
Financial Examiner 3,5677,10,8870,10065,1195,13.47%
Financial Investigator 1,5335,1,4776,5941,1165,24.39%
Financial Investigator 1,5335,2,5019,6243,1224,24.39%
Financial Investigator 1,5335,3,5256,6538,1282,24.39%
Financial Investigator 1,5335,4,5503,6845,1342,24.39%
Financial Investigator 1,5335,5,5771,7178,1407,24.38%
Financial Investigator 1,5335,6,6051,7527,1476,24.39%
Financial Investigator 1,5335,7,6350,7898,1548,24.38%
Financial Investigator 1,5335,8,6664,8289,1625,24.38%
Financial Investigator 1,5335,9,6982,8295,1313,18.81%
Financial Investigator 1,5335,10,7327,8314,987,13.47%
Fiscal Analyst 1,1343,1,4155,5168,1013,24.38%
Fiscal Analyst 1,1343,2,4356,5418,1062,24.38%
Fiscal Analyst 1,1343,3,4555,5666,1111,24.39%
Fiscal Analyst 1,1343,4,4776,5941,1165,24.39%
Fiscal Analyst 1,1343,5,5019,6243,1224,24.39%
Fiscal Analyst 1,1343,6,5256,6538,1282,24.39%
Fiscal Analyst 1,1343,7,5503,6845,1342,24.39%
Fiscal Analyst 1,1343,8,5771,7178,1407,24.38%
Fiscal Analyst 1,1343,9,6051,7189,1138,18.81%
Fiscal Analyst 1,1343,10,6350,7205,855,13.46%
Fiscal Analyst 2,1344,1,5019,6243,1224,24.39%
Fiscal Analyst 2,1344,2,5256,6538,1282,24.39%
Fiscal Analyst 2,1344,3,5503,6845,1342,24.39%
Fiscal Analyst 2,1344,4,5771,7178,1407,24.38%
Fiscal Analyst 2,1344,5,6051,7527,1476,24.39%
Fiscal Analyst 2,1344,6,6350,7898,1548,24.38%
Fiscal Analyst 2,1344,7,6664,8289,1625,24.38%
Fiscal Analyst 2,1344,8,6982,8685,1703,24.39%
Fiscal Analyst 2,1344,9,7327,8705,1378,18.81%
Fiscal Analyst 2,1344,10,7678,8712,1034,13.47%
Fiscal Analyst 3,1345,1,5771,7178,1407,24.38%
Fiscal Analyst 3,1345,2,6051,7527,1476,24.39%
Fiscal Analyst 3,1345,3,6350,7898,1548,24.38%
Fiscal Analyst 3,1345,4,6664,8289,1625,24.38%
Fiscal Analyst 3,1345,5,6982,8685,1703,24.39%
Fiscal Analyst 3,1345,6,7327,9114,1787,24.39%
Fiscal Analyst 3,1345,7,7678,9550,1872,24.38%
Fiscal Analyst 3,1345,8,8057,10022,1965,24.39%
Fiscal Analyst 3,1345,9,8450,10039,1589,18.80%
Fiscal Analyst 3,1345,10,8870,10065,1195,13.47%
Fiscal Auditor 1,5641,1,4155,5168,1013,24.38%
Fiscal Auditor 1,5641,2,4356,5418,1062,24.38%
Fiscal Auditor 1,5641,3,4555,5666,1111,24.39%
Fiscal Auditor 1,5641,4,4776,5941,1165,24.39%
Fiscal Auditor 1,5641,5,5019,6243,1224,24.39%
Fiscal Auditor 1,5641,6,5256,6538,1282,24.39%
Fiscal Auditor 1,5641,7,5503,6845,1342,24.39%
Fiscal Auditor 1,5641,8,5771,7178,1407,24.38%
Fiscal Auditor 1,5641,9,6051,7189,1138,18.81%
Fiscal Auditor 1,5641,10,6350,7205,855,13.46%
Fish and Wildlife Technical Coordinator,8346,1,3790,4714,924,24.38%
Fish and Wildlife Technical Coordinator,8346,2,3964,4930,966,24.37%
Fish and Wildlife Technical Coordinator,8346,3,4155,5168,1013,24.38%
Fish and Wildlife Technical Coordinator,8346,4,4356,5418,1062,24.38%
Fish and Wildlife Technical Coordinator,8346,5,4555,5666,1111,24.39%
Fish and Wildlife Technical Coordinator,8346,6,4776,5941,1165,24.39%
Fish and Wildlife Technical Coordinator,8346,7,5019,6243,1224,24.39%
Fish and Wildlife Technical Coordinator,8346,8,5256,6538,1282,24.39%
Fish and Wildlife Technical Coordinator,8346,9,5503,6538,1035,18.81%
Fish and Wildlife Technical Coordinator,8346,10,5771,6548,777,13.46%
Fish and Wildlife Technician,8341,1,3218,4002,784,24.36%
Fish and Wildlife Technician,8341,1,3218,4002,784,24.36%
Fish and Wildlife Technician,8341,2,3335,4148,813,24.38%
Fish and Wildlife Technician,8341,2,3335,4148,813,24.38%
Fish and Wildlife Technician,8341,3,3483,4332,849,24.38%
Fish and Wildlife Technician,8341,3,3483,4332,849,24.38%
Fish and Wildlife Technician,8341,4,3629,4514,885,24.39%
Fish and Wildlife Technician,8341,4,3629,4514,885,24.39%
Fish and Wildlife Technician,8341,5,3790,4714,924,24.38%
Fish and Wildlife Technician,8341,5,3790,4714,924,24.38%
Fish and Wildlife Technician,8341,6,3964,4930,966,24.37%
Fish and Wildlife Technician,8341,6,3964,4930,966,24.37%
Fish and Wildlife Technician,8341,7,4155,5168,1013,24.38%
Fish and Wildlife Technician,8341,7,4155,5168,1013,24.38%
Fish and Wildlife Technician,8341,8,4356,5418,1062,24.38%
Fish and Wildlife Technician,8341,8,4356,5418,1062,24.38%
Fish and Wildlife Technician,8341,9,4555,5411,856,18.79%
Fish and Wildlife Technician,8341,9,4555,5411,856,18.79%
Fish and Wildlife Technician,8341,10,4776,5419,643,13.46%
Fish and Wildlife Technician,8341,10,4776,5419,643,13.46%
Fish and Wildlife Technician Entry,8340,1,0,0,0,
Fish and Wildlife Technician Entry,8340,2,0,0,0,
Fish and Wildlife Technician Entry,8340,3,3005,3738,733,24.39%
Fish and Wildlife Technician Entry,8340,4,3095,3849,754,24.36%
Fish and Wildlife Technician Entry,8340,5,3218,4002,784,24.36%
Fish and Wildlife Technician Entry,8340,6,3335,4148,813,24.38%
Fish and Wildlife Technician Entry,8340,7,3483,4332,849,24.38%
Fish and Wildlife Technician Entry,8340,8,3629,4514,885,24.39%
Fish and Wildlife Technician Entry,8340,9,3790,4502,712,18.79%
Fish and Wildlife Technician Entry,8340,10,3964,4498,534,13.47%
Fish and Wildlife Technician Senior,8343,1,3483,4332,849,24.38%
Fish and Wildlife Technician Senior,8343,2,3629,4514,885,24.39%
Fish and Wildlife Technician Senior,8343,3,3790,4714,924,24.38%
Fish and Wildlife Technician Senior,8343,4,3964,4930,966,24.37%
Fish and Wildlife Technician Senior,8343,5,4155,5168,1013,24.38%
Fish and Wildlife Technician Senior,8343,6,4356,5418,1062,24.38%
Fish and Wildlife Technician Senior,8343,7,4555,5666,1111,24.39%
Fish and Wildlife Technician Senior,8343,8,4776,5941,1165,24.39%
Fish and Wildlife Technician Senior,8343,9,5019,5963,944,18.81%
Fish and Wildlife Technician Senior,8343,10,5256,5964,708,13.47%
Food Service Worker,9103,1,0,0,0,
Food Service Worker,9103,1,0,0,0,
Food Service Worker,9103,2,0,0,0,
Food Service Worker,9103,2,0,0,0,
Food Service Worker,9103,3,3005,3913,908,30.22%
Food Service Worker,9103,3,3005,3913,908,30.22%
Food Service Worker,9103,4,3095,3849,754,24.36%
Food Service Worker,9103,4,3095,3849,754,24.36%
Food Service Worker,9103,5,3218,4002,784,24.36%
Food Service Worker,9103,5,3218,4002,784,24.36%
Food Service Worker,9103,6,3335,4148,813,24.38%
Food Service Worker,9103,6,3335,4148,813,24.38%
Food Service Worker,9103,7,3483,4332,849,24.38%
Food Service Worker,9103,7,3483,4332,849,24.38%
Food Service Worker,9103,8,3629,4514,885,24.39%
Food Service Worker,9103,8,3629,4514,885,24.39%
Food Service Worker,9103,9,3790,4502,712,18.79%
Food Service Worker,9103,9,3790,4502,712,18.79%
Food Service Worker,9103,10,3964,4498,534,13.47%
Food Service Worker,9103,10,3964,4498,534,13.47%
Forest Crew Coordinator,8318,1,3483,4332,849,24.38%
Forest Crew Coordinator,8318,2,3629,4514,885,24.39%
Forest Crew Coordinator,8318,3,3790,4714,924,24.38%
Forest Crew Coordinator,8318,4,3964,4930,966,24.37%
Forest Crew Coordinator,8318,5,4155,5168,1013,24.38%
Forest Crew Coordinator,8318,6,4356,5418,1062,24.38%
Forest Crew Coordinator,8318,7,4555,5666,1111,24.39%
Forest Crew Coordinator,8318,8,4776,5941,1165,24.39%
Forest Crew Coordinator,8318,9,5019,5963,944,18.81%
Forest Crew Coordinator,8318,10,5256,5964,708,13.47%
Forest Lookout,8353,1,0,0,0,
Forest Lookout,8353,2,0,0,0,
Forest Lookout,8353,3,0,0,0,
Forest Lookout,8353,4,0,0,0,
Forest Lookout,8353,5,3005,3738,733,24.39%
Forest Lookout,8353,6,3095,3849,754,24.36%
Forest Lookout,8353,7,3218,4002,784,24.36%
Forest Lookout,8353,8,3335,4148,813,24.38%
Forest Lookout,8353,9,3483,4138,655,18.81%
Forest Lookout,8353,10,3629,4118,489,13.47%
Forest Management Technician,8311,1,3095,3849,754,24.36%
Forest Management Technician,8311,2,3218,4002,784,24.36%
Forest Management Technician,8311,3,3335,4148,813,24.38%
Forest Management Technician,8311,4,3483,4332,849,24.38%
Forest Management Technician,8311,5,3629,4514,885,24.39%
Forest Management Technician,8311,6,3790,4714,924,24.38%
Forest Management Technician,8311,7,3964,4930,966,24.37%
Forest Management Technician,8311,8,4155,5168,1013,24.38%
Forest Management Technician,8311,9,4356,5175,819,18.80%
Forest Management Technician,8311,10,4555,5168,613,13.46%
Forest Officer,8357,1,4155,5168,1013,24.38%
Forest Officer,8357,2,4356,5418,1062,24.38%
Forest Officer,8357,3,4555,5666,1111,24.39%
Forest Officer,8357,4,4776,5941,1165,24.39%
Forest Officer,8357,5,5019,6243,1224,24.39%
Forest Officer,8357,6,5256,6538,1282,24.39%
Forest Officer,8357,7,5503,6845,1342,24.39%
Forest Officer,8357,8,5771,7178,1407,24.38%
Forest Officer,8357,9,6051,7189,1138,18.81%
Forest Officer,8357,10,6350,7205,855,13.46%
Geologist 2,3531,1,4776,5941,1165,24.39%
Geologist 2,3531,2,5019,6243,1224,24.39%
Geologist 2,3531,3,5256,6538,1282,24.39%
Geologist 2,3531,4,5503,6845,1342,24.39%
Geologist 2,3531,5,5771,7178,1407,24.38%
Geologist 2,3531,6,6051,7527,1476,24.39%
Geologist 2,3531,7,6350,7898,1548,24.38%
Geologist 2,3531,8,6664,8289,1625,24.38%
Geologist 2,3531,9,6982,8295,1313,18.81%
Geologist 2,3531,10,7327,8314,987,13.47%
Governmental Auditor 1,5646,1,4356,5418,1062,24.38%
Governmental Auditor 1,5646,2,4555,5666,1111,24.39%
Governmental Auditor 1,5646,3,4776,5941,1165,24.39%
Governmental Auditor 1,5646,4,5019,6243,1224,24.39%
Governmental Auditor 1,5646,5,5256,6538,1282,24.39%
Governmental Auditor 1,5646,6,5503,6845,1342,24.39%
Governmental Auditor 1,5646,7,5771,7178,1407,24.38%
Governmental Auditor 1,5646,8,6051,7527,1476,24.39%
Governmental Auditor 1,5646,9,6350,7544,1194,18.80%
Governmental Auditor 1,5646,10,6664,7562,898,13.48%
Governmental Auditor 2,5647,1,4776,5941,1165,24.39%
Governmental Auditor 2,5647,2,5019,6243,1224,24.39%
Governmental Auditor 2,5647,3,5256,6538,1282,24.39%
Governmental Auditor 2,5647,4,5503,6845,1342,24.39%
Governmental Auditor 2,5647,5,5771,7178,1407,24.38%
Governmental Auditor 2,5647,6,6051,7527,1476,24.39%
Governmental Auditor 2,5647,7,6350,7898,1548,24.38%
Governmental Auditor 2,5647,8,6664,8289,1625,24.38%
Governmental Auditor 2,5647,9,6982,8295,1313,18.81%
Governmental Auditor 2,5647,10,7327,8314,987,13.47%
Governmental Auditor 3,5648,1,5503,6845,1342,24.39%
Governmental Auditor 3,5648,2,5771,7178,1407,24.38%
Governmental Auditor 3,5648,3,6051,7527,1476,24.39%
Governmental Auditor 3,5648,4,6350,7898,1548,24.38%
Governmental Auditor 3,5648,5,6664,8289,1625,24.38%
Governmental Auditor 3,5648,6,6982,8685,1703,24.39%
Governmental Auditor 3,5648,7,7327,9114,1787,24.39%
Governmental Auditor 3,5648,8,7678,9550,1872,24.38%
Governmental Auditor 3,5648,9,8057,9572,1515,18.80%
Governmental Auditor 3,5648,10,8450,9588,1138,13.47%
Grounds Maintenance Worker 1,4109,1,0,0,0,
Grounds Maintenance Worker 1,4109,2,3005,3738,733,24.39%
Grounds Maintenance Worker 1,4109,3,3095,3849,754,24.36%
Grounds Maintenance Worker 1,4109,4,3218,4002,784,24.36%
Grounds Maintenance Worker 1,4109,5,3335,4148,813,24.38%
Grounds Maintenance Worker 1,4109,6,3483,4332,849,24.38%
Grounds Maintenance Worker 1,4109,7,3629,4514,885,24.39%
Grounds Maintenance Worker 1,4109,8,3790,4714,924,24.38%
Grounds Maintenance Worker 1,4109,9,3964,4709,745,18.79%
Grounds Maintenance Worker 1,4109,10,4155,4714,559,13.45%
Grounds Maintenance Worker 2,4110,1,3218,4002,784,24.36%
Grounds Maintenance Worker 2,4110,1,3218,4002,784,24.36%
Grounds Maintenance Worker 2,4110,2,3335,4148,813,24.38%
Grounds Maintenance Worker 2,4110,2,3335,4148,813,24.38%
Grounds Maintenance Worker 2,4110,3,3483,4332,849,24.38%
Grounds Maintenance Worker 2,4110,3,3483,4332,849,24.38%
Grounds Maintenance Worker 2,4110,4,3629,4514,885,24.39%
Grounds Maintenance Worker 2,4110,4,3629,4514,885,24.39%
Grounds Maintenance Worker 2,4110,5,3790,4714,924,24.38%
Grounds Maintenance Worker 2,4110,5,3790,4714,924,24.38%
Grounds Maintenance Worker 2,4110,6,3964,4930,966,24.37%
Grounds Maintenance Worker 2,4110,6,3964,4930,966,24.37%
Grounds Maintenance Worker 2,4110,7,4155,5168,1013,24.38%
Grounds Maintenance Worker 2,4110,7,4155,5168,1013,24.38%
Grounds Maintenance Worker 2,4110,8,4356,5418,1062,24.38%
Grounds Maintenance Worker 2,4110,8,4356,5418,1062,24.38%
Grounds Maintenance Worker 2,4110,9,4555,5411,856,18.79%
Grounds Maintenance Worker 2,4110,9,4555,5411,856,18.79%
Grounds Maintenance Worker 2,4110,10,4776,5419,643,13.46%
Grounds Maintenance Worker 2,4110,10,4776,5419,643,13.46%
Group Life Coordinator 1,6750,1,3005,3913,908,30.22%
Group Life Coordinator 1,6750,2,3095,3849,754,24.36%
Group Life Coordinator 1,6750,3,3218,4002,784,24.36%
Group Life Coordinator 1,6750,4,3335,4148,813,24.38%
Group Life Coordinator 1,6750,5,3483,4332,849,24.38%
Group Life Coordinator 1,6750,6,3629,4514,885,24.39%
Group Life Coordinator 1,6750,7,3790,4714,924,24.38%
Group Life Coordinator 1,6750,8,3964,4930,966,24.37%
